,Tiempo[ms],AnguloDeg,AnguloRad
2141,71351,13.666313171387003,0.23852216144937133
2142,71384,12.209747314452997,0.21310029147374032
2143,71417,10.576820373535,0.1846003399102023
2144,71451,8.793624877929702,0.15347770730515786
2145,71484,6.889854431152301,0.12025064480672865
2146,71517,4.900276184082003,0.08552595366929472
2147,71551,2.866470336914105,0.05002934528990233
2148,71584,0.8324890136719034,0.014529674275254756
2149,71617,-1.1618194580077983,-0.020277574855972036
2150,71651,-3.0798034667969034,-0.05375271080994182
2151,71684,-4.882164001464801,-0.08520983644790192
2152,71717,-6.526969909667997,-0.11391711510230329
2153,71751,-7.753341674805,-0.1353213402574387
2154,71784,-9.195999145507798,-0.16050046309969623
2155,71817,-10.164489746093693,-0.17740381285453743
2156,71850,-10.859214782714801,-0.1895290521396138
2157,71884,-11.26318359375,-0.19657963796754485
2158,71917,-11.368583679199205,-0.19841921649051697
2159,71950,-11.175529479980497,-0.19504978507934934
2160,71984,-10.689697265625,-0.18657041332659108
2161,72017,-9.213180541992003,-0.16080033503843616
2162,72050,-8.883354187011705,-0.15504377918417833
2163,72084,-7.591232299804702,-0.1324919979153334
2164,72117,-6.065567016601605,-0.10586411544006746
2165,72150,-4.337203979492202,-0.07569848977273952
2166,72184,-2.4490966796875,-0.04274480076020781
2167,72217,-0.4499893188476989,-0.00785379521269891
2168,72250,1.6110305786132955,0.028117787947111283
2169,72284,3.684806823730497,0.06431201137405163
2170,72317,5.723472595214801,0.09989344143416301
2171,72350,7.685302734375,0.134133836727367
2172,72384,9.537170410156307,0.16645502498100573
2173,72417,11.250526428222997,0.19635872875512894
2174,72450,12.796485900879006,0.22334081165537145
2175,72484,14.147895812987997,0.24692736416576055
2176,72517,15.284278869629006,0.26676099006802323
2177,72550,16.192153930664006,0.28260639907982865
2178,72583,16.861785888672003,0.29429368152364455
2179,72617,17.283447265625,0.30165306087996724
2180,72650,17.449523925780994,0.30455164541040514
2181,72683,17.360137939452997,0.3029915656438389
2182,72717,17.20957946777,0.3003638245961999
2183,72750,16.437660217285,0.28689129211570985
2184,72783,15.615776062012003,0.2725467075362238
2185,72817,14.563209533690994,0.25417595602073595
2186,72850,13.293434143065994,0.23201419469353257
2187,72883,11.827270507812997,0.20642481188535866
2188,72917,10.191436767577997,0.17787412710304418
2189,72950,8.416824340820298,0.14690129730931556
2190,72984,6.536087036132798,0.11407623897743502
2191,73017,4.581413269042997,0.0799607459393572
2192,73050,2.5861358642577983,0.045136585735207735
2193,73083,0.5887374877929972,0.010275407591907815
2194,73117,-1.3671264648436932,-0.02386085810267291
2195,73150,-3.237442016601605,-0.05650402253210296
2196,73183,-4.81086730957,-0.08396547442855784
2197,73217,-6.560157775878906,-0.11449635263939517
2198,73250,-7.3931579589840055,-0.12903494850429476
2199,73283,-9.087348937988295,-0.15860415924550564
2200,73317,-9.811859130859006,-0.17124924757535886
2201,73350,-10.605888366699205,-0.18510767209786483
2202,73383,-10.506988525390994,-0.18338154423733655
2203,73417,-11.008964538574205,-0.19214267843341815
2204,73450,-10.779182434082003,-0.18813222414786757
2205,73483,-10.263336181640597,-0.1791290086086912
2206,73517,-9.467079162597699,-0.1652317019342775
2207,73550,-8.401054382324205,-0.1466260596106559
2208,73583,-7.082878112792997,-0.12361954358568017
2209,73617,-5.540084838867202,-0.09669272127805217
2210,73650,-3.8091735839844034,-0.06648262082052048
2211,73683,-1.3222045898440058,-0.023076823477758968
2212,73717,0.4374694824220029,0.0076352828452594945
2213,73750,2.686416625977003,0.046886815203615706
2214,73783,4.954666137695,0.08647523743984853
2215,73816,6.860214233397997,0.11973332576497375
2216,73850,8.787353515630002,0.15336825138444254
2217,73883,9.826095581054702,0.17149772050506984
2218,73917,11.502090454102003,0.20074934928628974
2219,73950,13.129699707,0.2291564896852849
2220,73983,14.292236328125,0.24944658139892595
2221,74016,15.360176086425994,0.2680856463942307
2222,74050,16.194862365722997,0.2826536701891844
2223,74083,16.792182922362997,0.2930788805923976
2224,74116,17.150588989257997,0.29933424651883844
2225,74150,17.269790649414006,0.3014147079624041
2226,74183,17.146675109862997,0.2992659364368697
2227,74216,16.775802612305,0.292792990249388
2228,74250,16.157196044922003,0.2819962688740947
2229,74283,15.300369262695,0.26704182040496494
2230,74316,14.221534729004006,0.24821260570783954
2231,74350,12.93985748291,0.2258431178156055
2232,74383,11.476455688477003,0.20030193822315634
2233,74416,9.854690551757798,0.17199679689335023
2234,74450,8.100036621093807,0.14137230857020344
2235,74483,6.240264892578097,0.1089131685720981
2236,74516,4.306076049804702,0.07515520491036343
2237,74549,2.331893920898395,0.04069922672691728
2238,74583,0.35894775390630684,0.006264820148303318
2239,74616,-1.5636978149414062,-0.027291675376968527
2240,74649,-3.387588500976605,-0.05912457304474095
2241,74683,-5.074134826660199,-0.08856035941533213
2242,74716,-6.593498229980497,-0.11507825333757804
2243,74750,-7.169540405272997,-0.12513208592678238
2244,74783,-9.013328552246094,-0.15731225980070795
2245,74816,-9.8555908203125,-0.1720125095437819
2246,74849,-10.427497863769503,-0.18199417046745303
2247,74883,-10.720764160156193,-0.1871126329245303
2248,74916,-10.730567932128906,-0.1872837410245689
2249,74949,-10.45556640625,-0.18248405894997344
2250,74983,-9.898979187011705,-0.1727697793997458
2251,75016,-9.069030761718693,-0.15828444675664044
2252,75049,-7.790420532227003,-0.13596848840233022
2253,75083,-6.648223876953097,-0.11603339606253393
2254,75116,-5.103553771972699,-0.08907381687349947
2255,75149,-3.379638671875,-0.05898582235194705
2256,75183,-1.5177383422851989,-0.026489531256637333
2257,75216,0.43442535400390625,0.0075821527815100875
2258,75249,2.426521301269503,0.0423507860769301
2259,75283,4.4124221801757955,0.07701129503209403
2260,75316,6.354080200195298,0.11089962042918833
2261,75349,8.219589233398395,0.14345889528427858
2262,75383,9.977752685546903,0.17414463631249988
2263,75416,11.595367431640994,0.20237733966065385
2264,75449,13.39535522461,0.23379305314366916
2265,75483,14.283332824707003,0.2492911859493192
2266,75516,15.308967590332003,0.2671918895323959
2267,75549,16.106018066405994,0.28110304464447533
2268,75583,16.668022155762003,0.29091186641341005
2269,75616,16.989868164062997,0.2965291389426634
2270,75649,17.66230773926,0.3082654235505631
2271,75683,16.893028259277003,0.29483896375683005
2272,75716,16.471458435059006,0.28748118229717234
2273,75749,15.809928894042997,0.275935313707236
2274,75782,14.921783447265994,0.26043425142438137
2275,75816,13.823219299315994,0.24126068999828765
2276,75849,12.533111572265994,0.21874406245584477
2277,75882,11.709915161129999,0.20437657469092074
2278,75916,9.455230712890597,0.1650249074756316
2279,75949,7.7069091796875,0.13451094033772226
2280,75982,5.854171752929702,0.10217457206587133
2281,76016,3.9334945678710938,0.06865243131866228
2282,76049,1.9888381958007955,0.03471177480614762
2283,76082,0.650253295897997,0.011349060985365034
2284,76116,-1.7996520996094034,-0.031409854528613
2285,76149,-3.570083618164105,-0.0623097137084756
2286,76182,-5.2072219848632955,-0.09088316851809886
2287,76216,-6.6721878051757955,-0.11645164551173148
2288,76249,-7.340591430664006,-0.128117489508768
2289,76282,-8.685974121094006,-0.15159884715611094
2290,76316,-9.754112243652301,-0.17024137426082397
2291,76349,-10.273132324218693,-0.17929998355067367
2292,76382,-10.515022277832003,-0.18352175966872242
2293,76416,-10.475608825683594,-0.18283386515915545
2294,76449,-10.157173156738295,-0.17727611428026924
2295,76482,-9.566474914550795,-0.16696648506835454
2296,76516,-8.712463378906193,-0.15206117192134339
2297,76549,-7.608055114746094,-0.13278561142551437
2298,76582,-6.271507263183594,-0.10945845080529226
2299,76616,-4.725685119628906,-0.08247876475002647
2300,76649,-3.0028762817382955,-0.0524100781463781
2301,76682,-1.1501159667969034,-0.020073310400363642
2302,76715,0.7777786254882955,0.013574797866406696
2303,76749,2.732925415039105,0.047698546703864864
2304,76782,4.680023193359403,0.08168181379382089
2305,76815,6.587905883789105,0.11498064848362688
2306,76849,8.418914794921903,0.14693778261625035
2307,76882,10.130592346190994,0.17681219161837003
2308,76915,11.687309265137003,0.20398202737547977
2309,76949,13.65689086914,0.2383577112520432
2310,76982,14.2490234375,0.24869237417821544
2311,77015,15.221321105957003,0.2656621698022543
2312,77049,15.968536376952997,0.2787035365023163
2313,77082,16.481414794922003,0.28765495355829507
2314,77115,16.753974914550994,0.2924120250554505
2315,77149,16.783279418945,0.2929234851427911
2316,77182,16.571441650390994,0.28922621860144604
2317,77215,16.123428344727003,0.2814069113248656
2318,77249,15.444160461425994,0.26955145025821037
2319,77282,14.541206359862997,0.25379192819154883
2320,77315,13.429168701172003,0.23438320964122195
2321,77349,12.127487182617003,0.21166458133007748
2322,77382,10.656074523925994,0.18598358578039598
2323,77415,9.358276367187997,0.16333273491900435
2324,77449,7.2916259765625,0.12726288111496253
2325,77482,5.455116271972699,0.09520974002504201
2326,77515,3.5647888183594034,0.06221730201864961
2327,77549,1.6611938476563068,0.028993302155475575
2328,77582,-0.21707153320309658,-0.003788612966746152
2329,77615,-2.0327606201172017,-0.035478365725926775
2330,77648,-3.7494430541992045,-0.0654401264118083
2331,77682,-5.3318405151367045,-0.09305817218036605
2332,77715,-6.745277404785199,-0.11772729967388007
2333,77748,-7.56428527832,-0.13202168366681954
2334,77782,-8.363403320312003,-0.14596892461167044
2335,77815,-9.663566589355497,-0.16866105446997226
2336,77848,-10.124923706054702,-0.17671325518388104
2337,77882,-10.311668395996094,-0.17997256488397428
2338,77915,-10.217178344726605,-0.1783234023789435
2339,77948,-9.841583251953097,-0.17176803135571217
2340,77982,-9.195091247558594,-0.16048461729121044
2341,78015,-8.294189453125,-0.144760914741219
2342,78048,-7.155052185058594,-0.12487921878128705
2343,78082,-5.792320251464801,-0.1010950597180067
2344,78115,-4.228622436523395,-0.07380338434103817
2345,78148,-2.5037384033202983,-0.04369847874656485
2346,78181,-0.6677703857422017,-0.011654791878513926
2347,78215,1.2323074340820028,0.021507822121533904
2348,78248,3.1560592651367045,0.05508362556470825
2349,78282,5.665283203125,0.09887784495246188
2350,78315,6.927818298339801,0.12091323928594044
2351,78348,8.703529357910199,0.15190524383952098
2352,78381,10.358337402344006,0.18078709270337945
2353,78415,11.862968444824006,0.20704785842237028
2354,78448,13.19457244873,0.2302887326232692
2355,78481,14.332733154297003,0.2501533843522352
2356,78515,15.257797241210994,0.26629879846083937
2357,78548,15.953010559082003,0.27843255986140236
2358,78581,16.40894317627,0.2863900851985679
2359,78615,16.62557220459,0.2901709749981478
2360,78648,16.607292175292997,0.2898519282995542
2361,78681,16.356689453125,0.28547808568326194
2362,78715,15.874420166015994,0.27706089874196405
2363,78748,15.163162231445,0.26464710595276575
2364,78781,14.231140136719006,0.24838025169846256
2365,78815,13.932846069340002,0.24317403808353322
2366,78848,11.769546508789006,0.20541733804497198
2367,78881,10.283340454102003,0.17947814902760872
2368,78915,8.660774230957003,0.15115902610207943
2369,78948,6.928932189941406,0.12093268036189864
2370,78981,5.116256713867202,0.0892955250342482
2371,79015,3.2539825439452983,0.0567927091942666
2372,79048,1.3771057128905966,0.02403502883796471
2373,79081,-0.47585296630859375,-0.008305201017466679
2374,79115,-2.265563964843693,-0.03954155060105946
2375,79148,-3.518661499022997,-0.06141222842111049
2376,79181,-5.493324279785199,-0.09587659556199779
2377,79215,-6.852821350097699,-0.11960429561016794
2378,79248,-8.002349853515597,-0.13966735284033316
2379,79281,-8.211959838867003,-0.14332573722977227
2380,79315,-9.593238830566406,-0.1674336035235542
2381,79348,-10.005043029785199,-0.17462094267346084
2382,79381,-10.144927978515597,-0.1770623956027897
2383,79415,-10.005874633789105,-0.1746354569014017
2384,79448,-9.589920043945298,-0.1673756797698447
2385,79481,-8.089279174805,-0.14118455571335708
2386,79514,-7.8036193847659945,-0.13619885183662084
2387,79548,-6.821502685546903,-0.11905768179642884
2388,79581,-5.449012756347699,-0.09510321358143892
2389,79614,-3.885482788085895,-0.06781446768166788
2390,79648,-2.165534973144503,-0.03779571534845849
2391,79681,-0.33391571044920454,-0.005827928571474628
2392,79714,1.5618591308594034,0.027259584285833638
2393,79748,3.474845886230497,0.0606475017141026
2394,79781,5.3602828979492045,0.09355458540755679
2395,79815,7.1806640625,0.12532623037025692
2396,79848,8.907531738281307,0.15546575705890264
2397,79881,10.515609741210994,0.18353201283892084
2398,79914,11.977920532227003,0.2090541508295929
2399,79948,13.266220092772997,0.23153921991311632
2400,79981,14.354835510254006,0.2505391432361326
2401,80014,15.226356506347997,0.2657500541182334
2402,80048,15.8720703125,0.27701988606117034
2403,80081,16.286781311035,0.2842579584298395
2404,80114,16.466491699219006,0.2873944964036874
2405,80148,16.410621643065994,0.28641937997054323
2406,80181,16.121627807617003,0.28137548602399165
2407,80214,15.603401184082003,0.2723307251718128
2408,80248,14.86222076416,0.2593946864928598
2409,80281,13.907981872559006,0.24274007598384117
2410,80314,12.754699707030994,0.22261150499084703
2411,80348,11.421516418457003,0.19934306707266525
2412,80381,9.932373046875,0.17335261220430986
2413,80414,8.313766479492202,0.14510259830907657
2414,80448,6.592781066894503,0.1150657364804537
2415,80481,4.797592163085895,0.08373377941372562
2416,80514,2.9596176147460938,0.05165507197734054
2417,80548,1.1138076782226989,0.019439611218979636
2418,80581,-0.7021026611327983,-0.01225400312378122
2419,80614,-2.446693420410199,-0.0427028559730398
2420,80647,-4.077423095703097,-0.07116445801687887
2421,80681,-5.557579040527301,-0.09699805269702866
2422,80714,-6.858253479003906,-0.11969910414497398
2423,80748,-7.5387268066409945,-0.1315756041842433
2424,80781,-8.820640563964801,-0.15394921997615518
2425,80814,-9.439956665039105,-0.1647583250505158
2426,80848,-9.799247741699205,-0.17102913731127
2427,80881,-9.891418457031193,-0.17263781976773163
2428,80914,-9.714256286621094,-0.1695457565840961
2429,80947,-9.26806640625,-0.16175827408254073
2430,80981,-8.557151794433594,-0.1493504734058071
2431,81014,-7.595375061035199,-0.13256430273892938
2432,81047,-6.405456542968693,-0.11179630676821728
2433,81081,-5.012023925781193,-0.08747631969361369
2434,81114,-3.4406051635742045,-0.06004988836548786
2435,81147,-1.7251358032226989,-0.030109299810272994
2436,81181,0.8952331542970029,0.015624766115497124
2437,81214,1.9553604125976989,0.03412747726298471
2438,81247,3.829093933105497,0.0668302965008305
2439,81281,5.674346923828097,0.0990360367212122
2440,81314,7.458312988281307,0.13017211828976616
2441,81347,9.147186279296903,0.15964851786698064
2442,81381,10.707260131835994,0.18687694316806036
2443,81414,12.110023498535,0.21135978254331844
2444,81447,13.332878112792997,0.23270262183532564
2445,81480,14.357452392577997,0.2505848164488236
2446,81514,15.170913696289006,0.26478239453614627
2447,81547,15.76628112793,0.27517351647742383
2448,81580,16.139015197754006,0.2816789532302111
2449,81614,16.283416748047003,0.28419923572780825
2450,81647,16.192749023437997,0.28261678540808943
2451,81680,15.865173339844006,0.2768995111799033
2452,81714,15.309020996094006,0.26719282163878244
2453,81747,14.539176940917997,0.25375650814905626
2454,81780,13.569107055664006,0.23682559467693043
2455,81814,12.409645080565994,0.21658916565979358
2456,81847,11.74752807617,0.20503304389964172
2457,81880,9.585014343261705,0.16729005914079864
2458,81914,7.966911315917997,0.13904883367716314
2459,81947,6.2513961791992045,0.10910744617361967
2460,81980,4.472122192382798,0.07805325680858721
2461,82014,2.662971496582003,0.0464776205021169
2462,82047,0.8571472167969034,0.014960041107411559
2463,82080,-0.11811828613299724,-0.0020615529998335713
2464,82114,-2.6087875366210938,-0.04553193199903016
2465,82147,-4.195877075195298,-0.07323186997110764
2466,82180,-5.633018493652301,-0.09831471953996385
2467,82214,-6.8833694458007955,-0.1201374604604013
2468,82247,-7.183959960937003,-0.1253837546497938
2469,82280,-8.718612670898395,-0.15216849731327375
2470,82314,-9.272224426269503,-0.161830845222245
2471,82347,-9.571159362792997,-0.16704824411382013
2472,82380,-9.607917785644503,-0.1676897996204194
2473,82414,-9.377990722656193,-0.16367681533183287
2474,82447,-8.884437561035199,-0.15506268762791886
2475,82480,-8.139480590820298,-0.1420607357119874
2476,82513,-7.161140441894503,-0.12498547890878076
2477,82547,-5.666442871094006,-0.0988980849767509
2478,82580,-4.5731201171875,-0.07981600313411086
2479,82614,-3.005973815917997,-0.052464140316506924
2480,82647,-1.302978515625,-0.022741265180404646
2481,82680,0.4910125732422017,0.008569786071766172
2482,82713,2.3303527832030966,0.040672328799907786
2483,82747,4.171401977539105,0.07280469893225994
2484,82780,5.975387573242202,0.10429018723583017
2485,82813,7.709899902343807,0.1345631382950887
2486,82847,9.346481323242202,0.16312687256673297
2487,82880,10.856895446777003,0.18948857209103953
2488,82913,12.211891174315994,0.21313770888705097
2489,82947,13.38436126709,0.23360117238712075
2490,82980,14.353645324707003,0.2505183705796279
2491,83013,15.106994628905994,0.2636667963555086
2492,83047,15.638580322265994,0.2729447169611374
2493,83080,15.946769714355,0.27832363657281034
2494,83113,16.30181884766,0.2845204129553349
2495,83147,15.887306213379006,0.27728580269601655
2496,83180,15.519515991210994,0.27086665236254315
2497,83213,14.931137084960994,0.2605975031991976
2498,83247,14.128791809082003,0.2465939363972871
2499,83280,13.125831604004006,0.22908897855219856
2500,83313,11.943298339844006,0.20844987957825056
2501,83346,10.602630615234006,0.18505081360858555
2502,83380,9.121269226074205,0.1591961799558299
2503,83413,7.517906188964801,0.13121221585349474
2504,83446,5.818908691406307,0.10155911553795471
2505,83480,4.576248168945,0.07987059793645201
2506,83513,2.2689971923827983,0.039601471725587034
2507,83546,0.48858642578130684,0.008527441810434855
2508,83580,-1.2455520629882955,-0.02173898450415357
2509,83613,-2.895957946777301,-0.05054400117055868
2510,83646,-4.429107666015597,-0.07730251169729341
2511,83680,-5.811897277832003,-0.10143674328586405
2512,83713,-7.009605407714801,-0.12234069363022271
2513,83746,-7.119567871089998,-0.12425990066972359
2514,83780,-8.734954833984403,-0.15245372186602246
2515,83813,-9.228935241699205,-0.16107530642098977
2516,83846,-9.467918395996094,-0.16524634932027205
2517,83880,-9.450210571289105,-0.16493728947576924
2518,83913,-9.177047729492202,-0.1601696984923089
2519,83946,-8.653274536132798,-0.15102813173450236
2520,83980,-7.885124206542997,-0.13762137933288066
